"Game","Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type","Round.Number"
14878,2016-06-04,"R11","Hawthorn",11,16,82,"Melbourne",10,4,64,"M.C.G.",18,2016,"Regular",11
14879,2016-06-04,"R11","Carlton",16,6,102,"Brisbane Lions",9,10,64,"Docklands",38,2016,"Regular",11
14880,2016-06-04,"R11","Geelong",14,14,98,"GWS",14,4,88,"Kardinia Park",10,2016,"Regular",11
14881,2016-06-04,"R11","Gold Coast",6,5,41,"Sydney",11,13,79,"Carrara",-38,2016,"Regular",11
14882,2016-06-04,"R11","Fremantle",20,6,126,"Essendon",6,11,47,"Subiaco",79,2016,"Regular",11
14883,2016-06-05,"R11","Collingwood",7,16,58,"Port Adelaide",19,11,125,"M.C.G.",-67,2016,"Regular",11
14884,2016-06-05,"R11","Footscray",12,11,83,"West Coast",11,9,75,"Docklands",8,2016,"Regular",11
14885,2016-06-05,"R11","Adelaide",19,19,133,"St Kilda",6,9,45,"Adelaide Oval",88,2016,"Regular",11
14886,2016-06-10,"R12","Essendon",6,7,43,"Hawthorn",23,13,151,"Docklands",-108,2016,"Regular",12
14887,2016-06-11,"R12","Port Adelaide",14,13,97,"Footscray",15,10,100,"Adelaide Oval",-3,2016,"Regular",12
14888,2016-06-11,"R12","Brisbane Lions",9,10,64,"Fremantle",23,9,147,"Gabba",-83,2016,"Regular",12
14889,2016-06-11,"R12","Geelong",15,15,105,"North Melbourne",12,2,74,"Docklands",31,2016,"Regular",12
14890,2016-06-11,"R12","West Coast",11,10,76,"Adelaide",15,15,105,"Subiaco",-29,2016,"Regular",12
14891,2016-06-12,"R12","St Kilda",17,8,110,"Carlton",12,6,78,"Docklands",32,2016,"Regular",12
14892,2016-06-12,"R12","Richmond",17,12,114,"Gold Coast",15,7,97,"M.C.G.",17,2016,"Regular",12
14893,2016-06-12,"R12","GWS",15,15,105,"Sydney",9,9,63,"Sydney Showground",42,2016,"Regular",12
14894,2016-06-13,"R12","Melbourne",16,8,104,"Collingwood",8,10,58,"M.C.G.",46,2016,"Regular",12
14895,2016-06-17,"R13","North Melbourne",11,18,84,"Hawthorn",14,9,93,"Docklands",-9,2016,"Regular",13
14896,2016-06-18,"R13","Brisbane Lions",12,10,82,"West Coast",20,11,131,"Gabba",-49,2016,"Regular",13
14897,2016-06-18,"R13","Fremantle",12,14,86,"Port Adelaide",9,15,69,"Subiaco",17,2016,"Regular",13
14898,2016-06-18,"R13","Footscray",5,13,43,"Geelong",16,4,100,"Docklands",-57,2016,"Regular",13
14899,2016-06-19,"R13","Sydney",12,14,86,"Melbourne",4,7,31,"S.C.G.",55,2016,"Regular",13
14900,2016-06-19,"R13","Essendon",12,18,90,"GWS",17,15,117,"Docklands",-27,2016,"Regular",13
14901,2016-06-23,"R14","Adelaide",12,28,100,"North Melbourne",10,7,67,"Adelaide Oval",33,2016,"Regular",14
14902,2016-06-24,"R14","Collingwood",12,13,85,"Fremantle",5,7,37,"M.C.G.",48,2016,"Regular",14
14903,2016-06-25,"R14","Richmond",17,15,117,"Brisbane Lions",11,9,75,"M.C.G.",42,2016,"Regular",14
14904,2016-06-25,"R14","GWS",18,19,127,"Carlton",9,11,65,"Sydney Showground",62,2016,"Regular",14
14905,2016-06-25,"R14","St Kilda",14,9,93,"Geelong",13,12,90,"Docklands",3,2016,"Regular",14
14906,2016-06-26,"R14","Hawthorn",12,14,86,"Gold Coast",8,12,60,"York Park",26,2016,"Regular",14
14907,2016-06-30,"R15","West Coast",20,10,130,"Essendon",7,10,52,"Subiaco",78,2016,"Regular",15
14908,2016-07-01,"R15","Port Adelaide",14,10,94,"Richmond",8,8,56,"Adelaide Oval",38,2016,"Regular",15
14909,2016-07-02,"R15","Gold Coast",15,18,108,"St Kilda",8,20,68,"Carrara",40,2016,"Regular",15
14910,2016-07-02,"R15","Sydney",11,13,79,"Footscray",13,5,83,"S.C.G.",-4,2016,"Regular",15
14911,2016-07-02,"R15","Carlton",6,9,45,"Collingwood",8,9,57,"M.C.G.",-12,2016,"Regular",15
14912,2016-07-03,"R15","Melbourne",15,8,98,"Adelaide",18,12,120,"M.C.G.",-22,2016,"Regular",15
14913,2016-07-07,"R16","Port Adelaide",12,7,79,"Hawthorn",15,11,101,"Adelaide Oval",-22,2016,"Regular",16
14914,2016-07-08,"R16","Geelong",9,6,60,"Sydney",15,8,98,"Kardinia Park",-38,2016,"Regular",16
14915,2016-07-09,"R16","GWS",14,9,93,"Collingwood",19,11,125,"Sydney Showground",-32,2016,"Regular",16
14916,2016-07-09,"R16","Gold Coast",22,7,139,"Brisbane Lions",17,11,113,"Carrara",26,2016,"Regular",16
14917,2016-07-09,"R16","Footscray",12,13,85,"Richmond",11,9,75,"Docklands",10,2016,"Regular",16
14918,2016-07-09,"R16","Melbourne",12,15,87,"Fremantle",8,7,55,"Marrara Oval",32,2016,"Regular",16
14919,2016-07-10,"R16","Carlton",7,5,47,"Adelaide",16,11,107,"M.C.G.",-60,2016,"Regular",16
14920,2016-07-10,"R16","West Coast",16,8,104,"North Melbourne",11,6,72,"Subiaco",32,2016,"Regular",16
14921,2016-07-10,"R16","Essendon",14,14,98,"St Kilda",17,7,109,"Docklands",-11,2016,"Regular",16
14922,2016-07-14,"R17","Sydney",10,10,70,"Hawthorn",11,9,75,"S.C.G.",-5,2016,"Regular",17
14923,2016-07-15,"R17","Fremantle",9,7,61,"Geelong",11,12,78,"Subiaco",-17,2016,"Regular",17
14924,2016-07-16,"R17","Richmond",16,6,102,"Essendon",11,17,83,"M.C.G.",19,2016,"Regular",17
14925,2016-07-16,"R17","North Melbourne",10,17,77,"Port Adelaide",16,9,105,"Docklands",-28,2016,"Regular",17
14926,2016-07-16,"R17","Footscray",15,17,107,"Gold Coast",8,11,59,"Cazaly's Stadium",48,2016,"Regular",17
14927,2016-07-16,"R17","Adelaide",14,13,97,"Collingwood",10,9,69,"Adelaide Oval",28,2016,"Regular",17
14928,2016-07-17,"R17","Carlton",11,9,75,"West Coast",12,10,82,"M.C.G.",-7,2016,"Regular",17
14929,2016-07-17,"R17","St Kilda",15,20,110,"Melbourne",11,8,74,"Docklands",36,2016,"Regular",17
14930,2016-07-17,"R17","Brisbane Lions",9,13,67,"GWS",22,14,146,"Gabba",-79,2016,"Regular",17
14931,2016-07-22,"R18","Collingwood",12,12,84,"North Melbourne",18,16,124,"Docklands",-40,2016,"Regular",18
14932,2016-07-23,"R18","Sydney",10,14,74,"Carlton",10,8,68,"S.C.G.",6,2016,"Regular",18
14933,2016-07-23,"R18","Gold Coast",16,9,105,"Fremantle",12,9,81,"Carrara",24,2016,"Regular",18
14934,2016-07-23,"R18","West Coast",10,6,66,"Melbourne",8,12,60,"Subiaco",6,2016,"Regular",18
14935,2016-07-23,"R18","Geelong",12,13,85,"Adelaide",7,13,55,"Kardinia Park",30,2016,"Regular",18
14936,2016-07-23,"R18","Footscray",9,6,60,"St Kilda",11,9,75,"Docklands",-15,2016,"Regular",18
14937,2016-07-24,"R18","Essendon",12,19,91,"Brisbane Lions",20,8,128,"Docklands",-37,2016,"Regular",18
14938,2016-07-24,"R18","Hawthorn",16,18,114,"Richmond",5,14,44,"M.C.G.",70,2016,"Regular",18
14939,2016-07-24,"R18","Port Adelaide",9,6,60,"GWS",11,13,79,"Adelaide Oval",-19,2016,"Regular",18
14940,2016-07-29,"R19","Geelong",16,7,103,"Footscray",11,12,78,"Kardinia Park",25,2016,"Regular",19
14941,2016-07-30,"R19","GWS",17,9,111,"Richmond",3,5,23,"Manuka Oval",88,2016,"Regular",19
14942,2016-07-30,"R19","Hawthorn",10,14,74,"Carlton",7,13,55,"York Park",19,2016,"Regular",19
14943,2016-07-30,"R19","Collingwood",13,13,91,"West Coast",11,6,72,"M.C.G.",19,2016,"Regular",19
14944,2016-07-30,"R19","North Melbourne",12,13,85,"St Kilda",8,14,62,"Docklands",23,2016,"Regular",19
